LON,LAT,EDO,CLAVE,ESTACION,jun-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",135.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",195.1
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",126.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",92.48
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",120.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",85.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",107.8
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",149.2
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",203.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",92.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",127.25
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",156.6
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",143
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",112.34
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",166.5
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",112.9
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",80.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",167.7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",108.5
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",210
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",92.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.01
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0.01
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
